original_,original_selleraddress_raw,lat,lon,formatted,name,housenumber,street,district,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
0,"Moosburgstrasse 12, 9200 Gossau",47.418186,9.2385586,"Moosburgstrasse 12, 9201 Gossau (SG), Switzerland",Moosburgstrasse,12,Moosburgstrasse,,,,9201,Gossau (SG),Wahlkreis St. Gallen,St. Gallen,Switzerland,ch,0.45,0.9,0.9,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1,"Hofwiesenstrasse 268, 8050 Zürich",47.406712,8.538337,"Hofwiesenstrasse 268, 8050 Zurich, Switzerland",,268,Hofwiesenstrasse,Zürich,Aldos,,8050,Zurich,Zurich,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2,"Ueberlandstr. 34, 8051 Zürich/ Schwamendingen",47.405098,8.558258,"Ueberlandstrasse 34, 8051 Zurich, Switzerland",,34,Ueberlandstrasse,Zürich,Oerlikon,,8051,Zurich,Zurich,Zurich,Switzerland,ch,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3,"Seetalstrasse 44, 6020 Emmenbrücke",47.074116,8.291336,"Seetalstrasse 44, 6020 Emmenbrücke, Switzerland",,44,Seetalstrasse,Emmen,,,6020,Emmenbrücke,Hochdorf,Lucerne,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
4,"Unterdorf 1, 8261 Hemishofen",47.6761767,8.8296034,"Unterdorf 1, 8261 Hemishofen, Switzerland",,1,Unterdorf,,,SH,8261,Hemishofen,,Schaffhausen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
5,"Althardstrasse 302, 8105 Regensdorf",47.44627715,8.459922078907866,"Althardstrasse 302, 8105 Regensdorf, Switzerland",,302,Althardstrasse,,,,8105,Regensdorf,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
6,"Hauptstrasse 13, 8583 Sulgen",47.534381,9.216361,"Hauptstrasse 13, 8583 Goetighofen, Switzerland",,13,Hauptstrasse,Sulgen,,TG,8583,Goetighofen,Weinfelden,Thurgau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
7,"UEBERLANDSTRASSE 100A, 8103 unterengstringen (fahrweid)",47.4069362,8.4107125,"Ueberlandstrasse 100, 8103 Unterengstringen, Switzerland",Ueberlandstrasse,100,Ueberlandstrasse,,,,8103,Unterengstringen,Bezirk Dietikon,Zurich,Switzerland,ch,0.7124999999999999,1,1,0.7124999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8,"Zentralstrasse 9, 6036 Dierikon",47.0961766,8.366208906420571,"Zentralstrasse 9, 6036 Dierikon, Switzerland",,9,Zentralstrasse,,,,6036,Dierikon,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9,"Hauptstrasse 13, 8583 Sulgen",47.534381,9.216361,"Hauptstrasse 13, 8583 Goetighofen, Switzerland",,13,Hauptstrasse,Sulgen,,TG,8583,Goetighofen,Weinfelden,Thurgau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
10,"Neulandweg 12, 5502 Hunzenschwil",47.386921,8.1107333,"Neulandweg 12, 5502 Hunzenschwil, Switzerland",Neulandweg,12,Neulandweg,,Neuland,AG,5502,Hunzenschwil,Bezirk Lenzburg,Aargau,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11,"schützenmatt str 16, 6020 Emmenbrücke",47.0719499,8.2843933,"Schützenmattstrasse 16, 6020 Emmen, Switzerland",Schützenmattstrasse,16,Schützenmattstrasse,Herdschwand,Emmenbrücke,,6020,Emmen,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12,"Glatthaldestrasse 18a, 9230 Flawil",47.4101582,9.2044842,"Glatthaldestrasse 18, 9230 Flawil, Switzerland",Glatthaldestrasse,18,Glatthaldestrasse,,,,9230,Flawil,Wahlkreis Wil,St. Gallen,Switzerland,ch,0.95,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13,"Zürcherstrasse 23, 8317 Tagelswangen-Lindau (Zürich)",47.4311647,8.6741245,"Postagentur Tagelswangen, Zürcherstrasse 23, 8317 Tagelswangen, Switzerland",Postagentur Tagelswangen,23,Zürcherstrasse,,Tagelswangen,,8317,Tagelswangen,Bezirk Pfäffikon,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
14,"Hauptstrasse 16, 5502 Hunzenschwil",47.386928499999996,8.13011012263918,"Hauptstrasse 16, 5502 Hunzenschwil, Switzerland",,16,Hauptstrasse,,,AG,5502,Hunzenschwil,Bezirk Lenzburg,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
15,"Luzernerstrasse 172, 5054 Moosleerau",47.268701500000006,8.063843231909255,"Luzernerstrasse 172, 5054 Moosleerau, Switzerland",,172,Luzernerstrasse,,,AG,5054,Moosleerau,Bezirk Zofingen,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
16,"Mühlentalstrasse 261, 8200 Schaffhausen",47.714062,8.631263,"Mühlentalstrasse 261, 8200 Schaffhausen, Switzerland",,261,Mühlentalstrasse,Schaffhausen,,SH,8200,Schaffhausen,Schaffhausen,Schaffhausen,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
17,"Industriestrasse 6, 8604 Volketswil",47.38166579999999,8.666540085124762,"Industriestrasse 6, 8604 Volketswil, Switzerland",,6,Industriestrasse,,,,8604,Volketswil,Bezirk Uster,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
18,"Riedackerweg 14, 8107 Buchs",47.451569649999996,8.445061482148395,"AutoBuchs, Riedackerweg 14, 8107 Buchs (ZH), Switzerland",AutoBuchs,14,Riedackerweg,,,,8107,Buchs (ZH),Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
19,"Glatthaldestrasse 18a, 9230 Flawil",47.4101582,9.2044842,"Glatthaldestrasse 18, 9230 Flawil, Switzerland",Glatthaldestrasse,18,Glatthaldestrasse,,,,9230,Flawil,Wahlkreis Wil,St. Gallen,Switzerland,ch,0.95,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
20,"Hönggerstrasse 36, 8103 Unterengstringen/ZH",47.4105271,8.4546709,"Hönggerstrasse 36, 8103 Unterengstringen, Switzerland",,36,Hönggerstrasse,,,,8103,Unterengstringen,Bezirk Dietikon,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
21,"Erlenstrasse 5, 8865 Bilten",47.1502217,9.029847700000005,"Erlenstrasse 5, 8865 Glarus Nord, Switzerland",,5,Erlenstrasse,Unterbilten,,GL,8865,Glarus Nord,,Glarus,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
22,"Erlenstrasse 5, 8865 Bilten",47.1502217,9.029847700000005,"Erlenstrasse 5, 8865 Glarus Nord, Switzerland",,5,Erlenstrasse,Unterbilten,,GL,8865,Glarus Nord,,Glarus,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
23,"Hauptstrasse 51, 6418 6418 Rothenthurm",47.097811300000004,8.674013760921696,"Hauptstrasse 51, 6418 Rothenthurm, Switzerland",,51,Hauptstrasse,,,SZ,6418,Rothenthurm,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
24,"industrie str 6, 8604 Volketswil",47.38166579999999,8.666540085124762,"Industriestrasse 6, 8604 Volketswil, Switzerland",,6,Industriestrasse,,,,8604,Volketswil,Bezirk Uster,Zurich,Switzerland,ch,0.5625,1,0.5625,0.5625,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
25,"IFANGSTRASSE 12, 8603 SCHWERZENBACH",47.383094,8.663402,"Ifangstrasse 12, 8603 Schwerzenbach, Switzerland",,12,Ifangstrasse,Schwerzenbach,,,8603,Schwerzenbach,Uster,Zurich,Switzerland,ch,0.3,0.3,0.3,0.3,© OpenAddresses contributors,BSD-3-Clause License,
26,"für besichtigung erst nachtelefonisch vereinbaren, 8105 regensdorf  zürich",47.430813,8.466199,"8105 Regensdorf, Switzerland",,,,Regensdorf,,,8105,Regensdorf,Dielsdorf,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
27,"Westring 9, 5502 Hunzenschwil",47.385223,8.116149,"Westring 9, 5502 Hunzenschwil, Switzerland",,9,Westring,Hunzenschwil,,AG,5502,Hunzenschwil,Lenzburg,Aargau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
28,"Mühlentalstrasse 261, 8200 Schaffhausen",47.714062,8.631263,"Mühlentalstrasse 261, 8200 Schaffhausen, Switzerland",,261,Mühlentalstrasse,Schaffhausen,,SH,8200,Schaffhausen,Schaffhausen,Schaffhausen,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
29,"Surhardweg 14, 5102 Rupperswil",47.4027283,8.1274477,"5102 Rupperswil, Switzerland",,,,,,AG,5102,Rupperswil,Bezirk Lenzburg,Aargau,Switzerland,ch,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
30,"Althardstrasse 257, 8105 Regensdorf",47.444157700000005,8.46174322253416,"Althardstrasse 257, 8105 Regensdorf, Switzerland",,257,Althardstrasse,,,,8105,Regensdorf,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
31,"Hofstrasse 99, 8620 Wetzikon ZH",47.309595,8.795105536843671,"Hofstrasse 99, 8620 Wetzikon (ZH), Switzerland",,99,Hofstrasse,,Unterwetzikon,,8620,Wetzikon (ZH),Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
32,"Feldstrasse 78, 8180 Bülach",47.5093758,8.538772346233385,"Feldstrasse 78, 8180 Bülach, Switzerland",,78,Feldstrasse,,,,8180,Bülach,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
33,8134 Adliswil,47.3117624,8.52491,"8134 Adliswil, Switzerland",,,,,,,8134,Adliswil,Bezirk Horgen,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
34,"Fabrikstrasse 5, 8340 Hinwil",47.2996684,8.83779086199977,"Fabrikstrasse 5, 8340 Hadlikon, Switzerland",,5,Fabrikstrasse,,,,8340,Hadlikon,Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
35,"Frauenfelderstrasse 13, 8523 Hagenbuch",47.5053194,8.8938136,"Frauenfelderstrasse 13, 8523 Hagenbuch, Switzerland",Frauenfelderstrasse,13,Frauenfelderstrasse,,,,8523,Hagenbuch,Bezirk Winterthur,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
36,"Althardstrasse 257, 8105 Regensdorf",47.444157700000005,8.46174322253416,"Althardstrasse 257, 8105 Regensdorf, Switzerland",,257,Althardstrasse,,,,8105,Regensdorf,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
37,"Schlossstrasse 61, 8207 Schaffhausen",47.7260455,8.6621099,"Schlossstrasse 61, 8207 Schaffhausen, Switzerland",,61,Schlossstrasse,,Herblingen,SH,8207,Schaffhausen,,Schaffhausen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
38,"Cilanderstrasse 9, 9100 Herisau",47.38698085,9.272395671964238,"Cilanderstrasse 9, 9100 Herisau, Switzerland",,9,Cilanderstrasse,,,AR,9100,Herisau,Hinterland,Appenzell Ausserrhoden,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
39,"Glatthaldestrasse 18a, 9230 Flawil",47.4101582,9.2044842,"Glatthaldestrasse 18, 9230 Flawil, Switzerland",Glatthaldestrasse,18,Glatthaldestrasse,,,,9230,Flawil,Wahlkreis Wil,St. Gallen,Switzerland,ch,0.95,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
40,"Industriestrasse 12, 6215 Beromünster",47.202835199999996,8.20358804506386,"Industriestrasse 12, 6215 Beromünster, Switzerland",,12,Industriestrasse,,,,6215,Beromünster,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
41,"Mühlentalstrasse 261, 8200 Schaffhausen",47.714062,8.631263,"Mühlentalstrasse 261, 8200 Schaffhausen, Switzerland",,261,Mühlentalstrasse,Schaffhausen,,SH,8200,Schaffhausen,Schaffhausen,Schaffhausen,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
42,"Buchenhagstrasse 4, 8156 Oberhasli",47.459519400000005,8.488877067212545,"Buchenhagstrasse 4, 8156 Niederhasli, Switzerland",,4,Buchenhagstrasse,,,,8156,Niederhasli,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
43,"Gotthardstrasse 17, 6414 Oberarth",47.05767555,8.532797350283902,"Gotthardstrasse 17, 6414 Goldau, Switzerland",,17,Gotthardstrasse,Türli,Oberarth,SZ,6414,Goldau,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
44,"Seetalstrasse 41a, 8280 Kreuzlingen",47.6446066,9.1882192,"Kletterwand SAC Bodan, Seetalstrasse 41a, 8280 Kreuzlingen, Switzerland",Kletterwand SAC Bodan,41a,Seetalstrasse,Kurzrickenbach,,TG,8280,Kreuzlingen,Bezirk Kreuzlingen,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
45,"Pfäffikerstrasse 36, 8610 Uster ZH",47.3582903,8.7289971,"Pfäffikerstrasse 36, 8610 Uster, Switzerland",,36,Pfäffikerstrasse,,,,8610,Uster,Bezirk Uster,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
46,"Althardstrasse 302, 8105 Regensdorf",47.44627715,8.459922078907866,"Althardstrasse 302, 8105 Regensdorf, Switzerland",,302,Althardstrasse,,,,8105,Regensdorf,Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47,"Luzernerstrasse 172, 5054 Moosleerau",47.268701500000006,8.063843231909255,"Luzernerstrasse 172, 5054 Moosleerau, Switzerland",,172,Luzernerstrasse,,,AG,5054,Moosleerau,Bezirk Zofingen,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
48,"Dällikerstrasse 39, 8107 Buchs",47.4494254,8.438584574686047,"Dällikerstrasse 39, 8107 Buchs (ZH), Switzerland",,39,Dällikerstrasse,,,,8107,Buchs (ZH),Bezirk Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
49,"Nägeliweg 2, 5313 Klingnau",47.5783791,8.2563506,"Nägeliweg 2, 5313 Klingnau, Switzerland",,2,Nägeliweg,,,AG,5313,Klingnau,Bezirk Zurzach,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
50,"Buchenhagstrasse 18, 8156 Oberhasli",47.457929,8.4939767,"Buchenhagstrasse 18, 8156 Niederhasli, Switzerland",Buchenhagstrasse,18,Buchenhagstrasse,,,,8156,Niederhasli,Bezirk Dielsdorf,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
51,"Bahnhofstrasse 13, 9553 Bettwiesen",47.498066800000004,9.021836790297018,"Bahnhofstrasse 13, 9553 Bettwiesen, Switzerland",,13,Bahnhofstrasse,,Tanks.ch,TG,9553,Bettwiesen,Bezirk Münchwilen,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
52,"Wenkenrütistrasse 12, 9630 Wattwil",47.3051844,9.080565495238709,"Garage Manser, Wenkenrütistrasse 12, 9630 Bunt, Switzerland",Garage Manser,12,Wenkenrütistrasse,,Wattwil,,9630,Bunt,Wahlkreis Toggenburg,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
53,"Sornthalstrasse 9, 9213 Hauptwil",47.478857,9.249011,"Sornthalstrasse 9, 9213 Hauptwil-Gottshaus, Switzerland",,9,Sornthalstrasse,Hauptwil-Gottshaus,Rotfarb,TG,9213,Hauptwil-Gottshaus,Weinfelden,Thurgau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
54,8951 Fahrweid,47.4083023,8.4134385,"8951 Fahrweid (Weiningen (ZH)), Switzerland",,,,,,,8951,Weiningen (ZH),Bezirk Dietikon,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
55,"Aarauerstr. 39, 5734 Reinach",47.262049399999995,8.176249414705882,"Aarauerstrasse 39, 5734 Reinach, Switzerland",,39,Aarauerstrasse,,,AG,5734,Reinach,Bezirk Kulm,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
56,"Flaachtalstrasse 9, 8412 Hünikon /Winterthur",47.55203315,8.667941980024391,"Flaachtalstrasse 9, 8412 Hünikon, Switzerland",,9,Flaachtalstrasse,,,,8412,Hünikon,Bezirk Winterthur,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
57,"Rütistrasse  17, 8734 Ermenswil",47.24565285,8.883666258821336,"Rütistrasse 17, 8734 Eschenbach (SG), Switzerland",,17,Rütistrasse,,,,8734,Eschenbach (SG),Wahlkreis See-Gaster,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
58,"Wiesenstrasse 21, 5412 Gebenstorf AG",47.485725,8.241326,"Wiesenstrasse 21, 5412 Gebenstorf, Switzerland",,21,Wiesenstrasse,,Vogelsang,AG,5412,Gebenstorf,Bezirk Baden,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
59,"Sedelstrasse,7, 6020 Emmenbrücke  (KANTON LUZERN)",47.0700527,8.2857795,"Progress Plus AG, Sedelstrasse 7, 6020 Emmen, Switzerland",Progress Plus AG,7,Sedelstrasse,Meierhöfli,Emmenbrücke,,6020,Emmen,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
60,"Hauptstrasse 51, 6418 6418 Rothenthurm",47.097811300000004,8.674013760921696,"Hauptstrasse 51, 6418 Rothenthurm, Switzerland",,51,Hauptstrasse,,,SZ,6418,Rothenthurm,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
61,"Ruessenstrasse 11, 6340 Baar",47.213407,8.56474,"Ruessenstrasse 11, 6340 Baar, Switzerland",,11,Ruessenstrasse,Baar,,ZG,6340,Baar,Zug,Zug,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
62,"Rüeterswilerstrasse 43, 8735 St.Gallenkappel",47.251597200000006,8.97490735996238,"Rüeterswilerstrasse 43, 8735 Eschenbach (SG), Switzerland",,43,Rüeterswilerstrasse,,,,8735,Eschenbach (SG),Wahlkreis See-Gaster,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
63,"Güterstrasse 58, 5605 Dottikon",47.3720159,8.2325915,"Güterstrasse 58, 5605 Dottikon, Switzerland",,58,Güterstrasse,,,AG,5605,Dottikon,Bezirk Bremgarten,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
64,"Wenkenrütistrasse 12, 9630 Wattwil",47.3051844,9.080565495238709,"Garage Manser, Wenkenrütistrasse 12, 9630 Bunt, Switzerland",Garage Manser,12,Wenkenrütistrasse,,Wattwil,,9630,Bunt,Wahlkreis Toggenburg,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
65,"Wenkenrütistrasse 12, 9630 Wattwil",47.3051844,9.080565495238709,"Garage Manser, Wenkenrütistrasse 12, 9630 Bunt, Switzerland",Garage Manser,12,Wenkenrütistrasse,,Wattwil,,9630,Bunt,Wahlkreis Toggenburg,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
66,"Witzbergstrasse 5k, 8330 Pfäffikon ZH",47.3706455,8.773544448268927,"Witzbergstrasse 5, 8330 Pfäffikon, Switzerland",,5,Witzbergstrasse,Mattenquartier,,,8330,Pfäffikon,Bezirk Pfäffikon,Zurich,Switzerland,ch,0.95,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
67,"Eschenstrasse 12, 6020 Emmen",47.0729014,8.288351505508475,"Eschenstrasse 12, 6021 Emmen, Switzerland",,12,Eschenstrasse,Meierhöfli,Emmenbrücke,,6021,Emmen,,Lucerne,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
68,"St. Gallerstrasse 41, 8716 Schmerikon",47.22763275,8.95643714655985,"St. Gallerstrasse 41, 8716 Schmerikon, Switzerland",,41,St. Gallerstrasse,,,,8716,Schmerikon,Wahlkreis See-Gaster,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
69,"St. Gallerstrasse 41, 8716 Schmerikon",47.22763275,8.95643714655985,"St. Gallerstrasse 41, 8716 Schmerikon, Switzerland",,41,St. Gallerstrasse,,,,8716,Schmerikon,Wahlkreis See-Gaster,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
70,"Seetalstrasse 41, 8280 Kreuzlingen",47.644358,9.18783319857162,"Seetalstrasse 41, 8280 Kreuzlingen, Switzerland",,41,Seetalstrasse,Kurzrickenbach,,TG,8280,Kreuzlingen,Bezirk Kreuzlingen,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
71,"8 im Hard, 8197 Rafz",47.6000235,8.540598160867553,"Im Hard 8, 8197 Rafz, Switzerland",,8,Im Hard,,,,8197,Rafz,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
72,"Hauptstrasse 75, 8362 Balterswil",47.457454150000004,8.944909926807615,"Coffee24 GmbH, Hauptstrasse 75, 8362 Bichelsee-Balterswil, Switzerland",Coffee24 GmbH,75,Hauptstrasse,,,TG,8362,Bichelsee-Balterswil,Bezirk Münchwilen,Thurgau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
73,"Toggenburgerstrasse 10a, 9602 Bazenheid",47.4092321,9.0703215,"Toggenburgerstrasse 10a, 9602 Kirchberg (SG), Switzerland",,10a,Toggenburgerstrasse,,,,9602,Kirchberg (SG),Wahlkreis Toggenburg,St. Gallen,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74,"Birmensdorferstrasse 25, 8902 Urdorf",47.3915998,8.4184848,"Birmensdorferstrasse 25, 8902 Urdorf, Switzerland",Birmensdorferstrasse,25,Birmensdorferstrasse,,,,8902,Urdorf,Bezirk Dietikon,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75,"Pfäffikerstrasse 36, 8610 Uster ZH",47.3582903,8.7289971,"Pfäffikerstrasse 36, 8610 Uster, Switzerland",,36,Pfäffikerstrasse,,,,8610,Uster,Bezirk Uster,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76,"Franzosenstrasse 26, 6423 Seewen SZ",47.0229359,8.6337789,"Franzosenstrasse 26, 6423 Schwyz, Switzerland",,26,Franzosenstrasse,Rösslimatt,,SZ,6423,Schwyz,Schwyz,Schwyz,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77,"Sinserstrasse 400, 6330 Cham ZG",47.196558,8.4350498,"BP, Sinserstrasse 400, 6330 Cham, Switzerland",BP,400,Sinserstrasse,,,ZG,6330,Cham,,Zug,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
78,"Sinserstrasse 400, 6330 Cham ZG",47.196558,8.4350498,"BP, Sinserstrasse 400, 6330 Cham, Switzerland",BP,400,Sinserstrasse,,,ZG,6330,Cham,,Zug,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
79,"Sinserstrasse 400, 6330 Cham ZG",47.196558,8.4350498,"BP, Sinserstrasse 400, 6330 Cham, Switzerland",BP,400,Sinserstrasse,,,ZG,6330,Cham,,Zug,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
80,"Grubenstrasse 12, 8620 Wetzikon",47.314556100000004,8.79695586846977,"Auto Top Discount, Grubenstrasse 12, 8620 Wetzikon (ZH), Switzerland",Auto Top Discount,12,Grubenstrasse,,Unterwetzikon,,8620,Wetzikon (ZH),Bezirk Hinwil,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
81,"Im Vorderasp  4, 8154 Oberglatt",47.481613,8.50358,"Im Vorderasp 4, 8154 Oberglatt, Switzerland",,4,Im Vorderasp,Oberglatt,,,8154,Oberglatt,Dielsdorf,Zurich,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
82,"Feldstrasse 78, 8180 Bülach",47.5093758,8.538772346233385,"Feldstrasse 78, 8180 Bülach, Switzerland",,78,Feldstrasse,,,,8180,Bülach,Bezirk Bülach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
